date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:27	136667/136667	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:00:04%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/contentf7ff.html?Section=d&id=7	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/contentf7fff7ff.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:28	137144/137144	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:00:10%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content4c9d.html?Section=d&id=11	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content4c9d4c9d.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:29	136729/136729	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:00:16%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content3f18.html?Section=d&id=20	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content3f183f18.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:29	138820/138820	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:00:20%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content91b5.html?Section=d&id=21	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content91b591b5.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:30	140882/140882	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:00:26%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content9eee.html?Section=d&id=15	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content9eee9eee.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:30	136176/136176	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:00:32%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/contentd389.html?Section=d&id=3	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/contentd389d389.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:31	140233/140233	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:00:36%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content4323.html?Section=d&id=18	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content43234323.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:31	138525/138525	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:00:42%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/contentcc3a.html?Section=d&id=8	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/contentcc3acc3a.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:32	141983/141983	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:00:48%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/contentbb03.html?Section=d&id=5	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/contentbb03bb03.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:33	143308/143308	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:00:54%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content9d2c.html?Section=d&id=6	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content9d2c9d2c.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:33	139042/139042	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:00:58%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/contentfdea.html?Section=d&id=4	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/contentfdeafdea.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:34	140555/140555	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:01:04%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/contente72f.html?Section=d&id=16	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/contente72fe72f.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:34	137175/137175	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:01:14%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content2f5a.html?Section=d&id=17	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content2f5a2f5a.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:34	6150/6150	---MCZ	200	added ('OK')	text/plain	date:Wed,%2029%20Nov%202006%2010:01:18%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/consts4199.txt?Type=*&Lang=pas	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/consts41994199.txt	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:34	7442/7442	---MCZ	200	added ('OK')	text/plain	date:Wed,%2029%20Nov%202006%2010:01:20%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/consts0726.txt?Type=*&Lang=cpp	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/consts07260726.txt	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
